事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,九州工場苅田第一地区,窯業・土石製品製造業,福岡県苅田町,"4,806,660 tCO2",4806660,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=九州工場苅田第一地区,ＵＢＥ三菱セメント株式会社,九州工場苅田第一地区,福岡県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,伊佐セメント工場,窯業・土石製品製造業,山口県美祢市,"1,947,484 tCO2",1947484,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=伊佐セメント工場,ＵＢＥ三菱セメント株式会社,伊佐セメント工場,山口県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,宇部セメント工場,窯業・土石製品製造業,山口県宇部市,"1,369,115 tCO2",1369115,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=宇部セメント工場,ＵＢＥ三菱セメント株式会社,宇部セメント工場,山口県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,九州工場苅田第二地区,窯業・土石製品製造業,福岡県苅田町,"1,309,599 tCO2",1309599,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=九州工場苅田第二地区,ＵＢＥ三菱セメント株式会社,九州工場苅田第二地区,福岡県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,横瀬工場,窯業・土石製品製造業,埼玉県横瀬町,"637,350 tCO2",637350,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=横瀬工場,ＵＢＥ三菱セメント株式会社,横瀬工場,埼玉県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,九州工場黒崎地区,窯業・土石製品製造業,福岡県北九州市,"428,664 tCO2",428664,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=九州工場黒崎地区,ＵＢＥ三菱セメント株式会社,九州工場黒崎地区,福岡県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,岩手工場,窯業・土石製品製造業,岩手県一関市,"165,134 tCO2",165134,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=岩手工場,ＵＢＥ三菱セメント株式会社,岩手工場,岩手県,104058361,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,宇部発電所,電気業,山口県宇部市,"83,911 tCO2",83911,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=宇部発電所,ＵＢＥ三菱セメント株式会社,宇部発電所,山口県,104058361,電気・ガス・熱供給・水道業 電気業 電気業 発電業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,東谷鉱山,鉱業，採石業，砂利採取業,福岡県北九州市,"17,385 tCO2",17385,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=東谷鉱山,ＵＢＥ三菱セメント株式会社,東谷鉱山,福岡県,104058361,鉱業，採石業，砂利採取業 鉱業，採石業，砂利採取業 窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る） 石灰石鉱業
ＵＢＥ三菱セメント株式会社,2010001217516,104058361,東京都千代田区,製造業 窯業・土石製品製造業 セメント・同製品製造業 セメント製造業,"2,131 人",（記載なし）,（記載なし）,宇部コールセンター,倉庫業,山口県宇部市,"9,265 tCO2",9265,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=104058361&office=宇部コールセンター,ＵＢＥ三菱セメント株式会社,宇部コールセンター,山口県,104058361,運輸業，郵便業 倉庫業 倉庫業（冷蔵倉庫業を除く） 倉庫業（冷蔵倉庫業を除く）
