ticker,is_gx,tcfd_flag,sbti_flag,commitment_score
1301,0,1,0,20
130A,0,0,0,0
131A,0,0,0,0
1320,0,0,0,0
132A,0,0,0,0
1332,0,1,0,20
1333,0,1,0,20
134A,0,0,0,0
135A,0,0,0,0
136A,0,0,0,0
1375,0,0,0,0
1376,0,0,0,0
1377,0,1,0,20
1379,0,0,0,0
137A,0,0,0,0
1380,0,0,0,0
1381,0,0,0,0
1382,0,0,0,0
1383,0,0,0,0
1384,0,0,0,0
138A,0,0,0,0
139A,0,0,0,0
1401,0,0,0,0
1407,0,0,0,0
1417,0,0,0,0
1418,0,0,0,0
1419,0,0,0,0
141A,0,0,0,0
1420,0,0,0,0
1429,0,0,0,0
142A,0,0,0,0
1430,0,0,0,0
1431,0,0,0,0
1432,0,0,0,0
1433,0,1,0,20
1434,0,0,0,0
1435,0,0,0,0
1436,0,0,0,0
1438,0,0,0,0
143A,0,0,0,0
1443,0,0,0,0
1444,0,0,0,0
1445,0,0,0,0
1446,0,0,0,0
1447,0,0,0,0
144A,1,0,0,30
1450,0,0,0,0
1452,0,0,0,0
145A,0,0,0,0
146A,0,0,0,0
147A,0,0,0,0
148A,0,0,0,0
1491,0,0,0,0
149A,0,0,0,0
150A,0,0,0,0
1514,0,0,0,0
1515,0,1,0,20
1518,0,0,0,0
151A,0,0,0,0
152A,0,0,0,0
153A,0,0,0,0
154A,0,0,0,0
155A,0,0,0,0
156A,0,1,0,20
157A,0,0,0,0
158A,0,0,0,0
1605,0,0,0,0
160A,0,0,0,0
161A,0,0,0,0
164A,0,0,0,0
